time,tweet
2022-05-29 05:19:42+00:00,"RT @bitcoininu_eth: ▪️Token Name: Bitcoin Inu
▪️Symbol: BINU
▪️Total Supply: 2.1 B
▪️Tax : 10% buy/sell
▪️10% auto-burn every transaction…"
2022-05-29 05:19:42+00:00,@ReActivada_BTC Pero se ve al toque jajajaja
2022-05-29 05:19:43+00:00,"🇺🇸 USD: $28,938
🇪🇺 EUR: €26,980 
🇬🇧 GBP: £22,912
🇨🇦 CAD: $36,780
🇦🇺 AUD: $40,326
🇯🇵 JPY:  ¥3,682,635

 #Bitcoin #BTC"
2022-05-29 05:19:43+00:00,Getting paid crypto to create whatever content I want and post on Social with the Raiinmaker App🚀 $BTC  #CreateToEarn #RaiinmakerApp #MakeItRaiin https://t.co/LddDfiQ8eE
2022-05-29 05:19:43+00:00,Identity is the antidote for DEXs’ regulation problem https://t.co/qrgM7LNKEA
2022-05-29 05:19:43+00:00,"UK digital services tax targets crypto exchanges . Britain’s crypto exchanges will be levied with a 2% tax that is likely to be passed on to investors, warned CryptoUK."
2022-05-29 05:19:43+00:00,"@archillect Looking at the image, I see dreams come true. I fell like I'd also share another dream coming true in the Crypto space. Meet @elonmusk as he have fun with his favourite doge's son @Sonofdoge_ 😆😆😆

#ItsSonOfDoge #SonOfDoge #Utilium #BSC #SOD #Launchpad https://t.co/ohFPPLWO4v"
2022-05-29 05:19:43+00:00,"RT @DMM_Bitcoin: ／
毎日参加！その場で当たる！
🎉 #フォローRTキャンペーン 🎉
400名様に500円分のデジタルギフトをプレゼント😊
＼

■応募方法
①@DMM_Bitcoinをフォロー
②この投稿をRT
③以下のURLから抽選！
https://t.c…"
2022-05-29 05:19:44+00:00,"@PenkeTrading Next #BSC #Metaverse gem taking the crypto space by storm🚀

$LMETA @luckymetaverse_

All In One Metaverse 🏙 
P2E, Stake, Lottery | All using one token ✅| KYC'd &amp; Audited🔒, DOXXED TEAM

Next 1000x #GEM 💎

Check for yourself before investing 👇💎 
https://t.co/zWaHheLPwZ"
2022-05-29 05:19:44+00:00,"@StewJohnson3 Hey Bitcoin! The first Underwater Meta Nightclub. Whales call! 🐳 Holders can access club Atlantis. 1st Place on Mintyscore! Send @SeaHorseArmyNFT DM with words ""WHITELIST"" to claim! https://t.co/YFx0Ycoe8m"
2022-05-29 05:19:44+00:00,"RT @airdropinspect: New airdrop: CloudChat (CC)
Total Reward: 1.2 Million CC
Rate: ⭐️⭐️⭐️⭐️
Winners: 750 Random &amp; Top 250
Distribution: 14t…"
2022-05-29 05:19:44+00:00,"@BabyDogeGem Feel free to join #DroverInu @DroverToken 
   ➡️Hyperdeflationary
   ➡️Kyc and Audited 
   ➡️10 billion supply 
   ➡️Bot free
   ➡️liquidity 🔒 

   TG - https://t.co/Oi8qmsiRTI

   #BSCGems #100xgems  
   #NFT #Altcoin  #DroverToken #Crypto #BSCGems #BSCGemsAlert https://t.co/2lagyCinvM"
2022-05-29 05:19:45+00:00,A Problem With Bitcoin's Lightning Network Liquidity And Ideas To Address It - Bitcoin Magazine https://t.co/yDEEN8Nd9f #crypto $BTC $ETH
2022-05-29 05:19:45+00:00,"RT @TheRealPlanC: Clear competing interests. To call what Celsius does high risk is disingenuous. They do over collateralized sec lending,…"
2022-05-29 05:19:46+00:00,"@DaCryptoGems07 Simple exchange of #BlueBit to buy/sell #BlueSparrow to USDT/USD...
The most innovative move in #BlueBit
Trading crypto/Forex with #BlueSparrow

You can trade #BlueSparrow using Market, Limit and Simple Exchange features.
#BlueSparrow 
#BlueBitIO 
@BlueSparrowETH
764 https://t.co/kEnQqKjbms"
2022-05-29 05:19:46+00:00,"@elonmusk @elonmusk love's one , 
One @elonmusk can do many things.
Just waiting for the day when from one Bitcoin and 100 doge coin we can buy Tesla car."
2022-05-29 05:19:46+00:00,"RT @DMM_Bitcoin: ／
毎日参加！その場で当たる！
🎉 #フォローRTキャンペーン 🎉
400名様に500円分のデジタルギフトをプレゼント😊
＼

■応募方法
①@DMM_Bitcoinをフォロー
②この投稿をRT
③以下のURLから抽選！
https://t.c…"
2022-05-29 05:19:47+00:00,"RT @DMM_Bitcoin: ／
毎日参加！その場で当たる！
🎉 #フォローRTキャンペーン 🎉
400名様に500円分のデジタルギフトをプレゼント😊
＼

■応募方法
①@DMM_Bitcoinをフォロー
②この投稿をRT
③以下のURLから抽選！
https://t.c…"
2022-05-29 05:19:47+00:00,"Have smbd heard about FXRUMBLE? I'm following them on Twi and they do just awesome things...Could u imagine: they even have a partnership with Spotify! Traders can listen to their fav playlists while trading!!
Biddutbam 
#FxRumble #CRYPTO #trading #Forex #Gaming https://t.co/hKLd481W6z"
2022-05-29 05:19:47+00:00,"@yoyo_vision #BlueBit is a unique crypto and Forex trading platform founded with #BlueSparrow. The community-focused team listens to its client's needs, providing a state-of-the-art global exchange to their growing #BlueSparrow community.
@BlueSparrowETH 
@BluesparrowC
@Bluebit_io ۶"
2022-05-29 05:19:47+00:00,"🐳 #Cardano $ADA Whale ❤️laced!
💰 Transaction Output: 27.1M ₳D₳ / 12.49M USD 
👁️ Tx info:
➡️ https://t.co/p3txoLsO0F

🙏Support us:
- Stake with  ☮️PEACE☮️ pool: https://t.co/Uztjjf2EbE
- Stake with SHARP/EASY1/BOOST/GMBL
#fintech #blockchain #crypto"
2022-05-29 05:19:47+00:00,"@rovercrc @omniaverse DApp features:

Gamers looking to monetize their artwork can use P2P or can leverage the integration of the Dapp with OpenSea Marketplace. Flexible selling options with an opportunity to list using chain agnostic crypto currencies.

@bitgertbrise"
2022-05-29 05:19:47+00:00,"hopefully this project is a success and then it becomes one of the best cryptos, Good luck.
@MdArif12360116
@nusratj35821303
@RakivHasan6
#Airdrop#Crypto#NFT https://t.co/ytW8dLDIZW"
2022-05-29 05:19:47+00:00,"@crypto_pastuh @SkullAndUxV @DustinBenge Why would anyone believe in something without good evidence?

The power of indoctrination and brainwashing goes really deep, but fortunately education is the killer of religion. Already happened in Europe, Canada and Aust/NZ, and happening fast in the US. Africa will take longer."
2022-05-29 05:19:48+00:00,"RT @NBDAO_xiaoniu: 基金车净值公布如图：

我们归零包币种名单继续扩大征集中：

必选项目：BTC ETH USDT BNB  SOL CRV  UNI SHIB DOGE  AXS  LINK

投票选项：FIL   ICP ROSE   MANA  LTC…"
2022-05-29 05:19:48+00:00,"RT @NFTNoNames: Sheesh! LET'S GO!!
Sign Up: https://t.co/CfmUvDIIs0

$78 Giveaway! 🥳
✅Follow @rollbitcom &amp; @NFTNoNames 
✅Retweet and Tag 1…"
2022-05-29 05:19:48+00:00,"@cryptowaless 🦊 #KYUUBI 🦊 is 2nd AltRank and only 200k MC

Time to check out @KyuubiGlobal

Current top 10 Memes coins by LunarCrush Galaxy Score™:

1️⃣ eg
2️⃣ $kyub
3️⃣ shib
4️⃣ marvin
5️⃣ bluesparrow
6️⃣ voltinu
7️⃣ mona
8️⃣ yamv2
9️⃣ lowb
🔟 pigeinu

🔎 https://t.co/QOa7PjouLc
#Crypto #BSC #ETH"
2022-05-29 05:19:48+00:00,"RT @bitcoininu_eth: ▪️Token Name: Bitcoin Inu
▪️Symbol: BINU
▪️Total Supply: 2.1 B
▪️Tax : 10% buy/sell
▪️10% auto-burn every transaction…"
2022-05-29 05:19:49+00:00,"RT @CoinMarketG: $XLM (#Stellar) will be listed on https://t.co/cK9jit8cvI! 🚀🚀🚀
❇️Stellar makes it possible to create, send, and trade digi…"
2022-05-29 05:19:49+00:00,"RT @BTC_Archive: 💥Michael Saylor told me why he will be buying #Bitcoin at the top forever!

If you missed our chat on twitter spaces, here…"
2022-05-29 05:19:49+00:00,"RT @nihkalowz: ""Most people have attained their greatest success just one step beyond their greatest failure."" #Bitcoin #Supercycle https:/…"
2022-05-29 05:19:49+00:00,RT @RecessionCoin: 24 HOURS UNTIL PRESALE!! Make sure to join our telegram for a voice chat right before the event! Presale buyers will get…
2022-05-29 05:19:49+00:00,"@WazirXIndia Altbase aims to simplify the process for new-comers to #cryptocurrency and make the process of buying #altcoin simple and straightforward.

Start your #crypto journey with @AltbaseApp
#BSCGems #BSC #Binance https://t.co/2QogP1ie2X"
2022-05-29 05:19:50+00:00,"RT @CryptoMetaBomb: 🚀 Airdrop: CryptoMetaBomb
💰 Value: 50.000 $BTC
📅 End Date: 26th June, 2022
🏦 Distribution Date: Immediate

🥇 1st - 2.00…"
2022-05-29 05:19:50+00:00,Koskoca #bitcoin ve para sistemi bile ezoterik sistemle yürütülüyor.paranın yönünü inişini çıkışını dahi kendi belirledikleri dönemlerde hareket ettiriyorlar. https://t.co/Bn1YX1JDkq
2022-05-29 05:19:50+00:00,"@DylanLeClair_ @SatoshiSarah @Mashinsky @CelsiusNetwork 🎯 
One thing that is always true… never have 100% of your crypto on an exchange 

Keep a #HODL amount in your wallet 💯"
2022-05-29 05:19:50+00:00,"RT @DMM_Bitcoin: ／
毎日参加！その場で当たる！
🎉 #フォローRTキャンペーン 🎉
400名様に500円分のデジタルギフトをプレゼント😊
＼

■応募方法
①@DMM_Bitcoinをフォロー
②この投稿をRT
③以下のURLから抽選！
https://t.c…"
2022-05-29 05:19:50+00:00,RT @cryptohobbies: BTC😡
2022-05-29 05:19:51+00:00,"RT @STEPEN_BTC: 💴2000人記念給料日💴

今日でラスト〜🤑
次はいつやろうかな？

参加方法
・@STEPEN_BTC をフォロー

・このツイートのフォロー、リツイート、いいね

現金50万円分2人
#btc   50万円分2人

給料欲しけりゃフォロー&amp;リ…"
2022-05-29 05:19:51+00:00,I’m calling it: slurp tweet was the canary in the coal mine for crypto
2022-05-29 05:19:51+00:00,"ges . Britain’s crypto exchanges will be levied with a 2% tax that is likely to be passed on to investors, warned CryptoUK."
2022-05-29 05:19:51+00:00,"@Metacoms 
The project is excellent and worthy in the crypto industry. I think this project will work and it works because this project is great. 
#Metacoms $METAC #Metaverse_APP #Metaverse #blockchian #crypto #BNB #cryptolife #BUSD #BSC #digitalassets #Gaming #BinanceSmartChain"
2022-05-29 05:19:51+00:00,"@LBank_Exchange @iRocketToken ✌️Very good project with good potential. Hope it will go a long way in future✌️.

💙Very Good Project ❤️

@AmitDasDas8
@niloy306
@RizzAlvie
#crypto #LBankAMA"
2022-05-29 05:19:51+00:00,"RT @DMM_Bitcoin: ／
毎日参加！その場で当たる！
🎉 #フォローRTキャンペーン 🎉
400名様に500円分のデジタルギフトをプレゼント😊
＼

■応募方法
①@DMM_Bitcoinをフォロー
②この投稿をRT
③以下のURLから抽選！
https://t.c…"
2022-05-29 05:19:52+00:00,"Bitcoin is holding the support on the weekly chart. This is the last support area and a break below this is bearish and we see a dump towards the $23,000-$25,000 zone. We might see some reversal from next week if BTC is able to close the weekly candle above the support level
#btc https://t.co/6tNt6YLt8c"
2022-05-29 05:19:52+00:00,"RT @DMM_Bitcoin: ／
毎日参加！その場で当たる！
🎉 #フォローRTキャンペーン 🎉
400名様に500円分のデジタルギフトをプレゼント😊
＼

■応募方法
①@DMM_Bitcoinをフォロー
②この投稿をRT
③以下のURLから抽選！
https://t.c…"
2022-05-29 05:19:52+00:00,"RT @doodle_homes: 🎁 Free #NFT #Giveaway
Worth 1 ETH (1800$)

Follow &amp; Retweet
Drop your #ETH  address

#NFTCommunity #opensea  #NFTArtist #…"
2022-05-29 05:19:52+00:00,"@Nikk94845808 @icdrakon Plss!!!

@15000Harman

#ICP #Crypto #DFINITY #NFTGiveaway"
2022-05-29 05:19:53+00:00,RT @WatcherGuru: FUN FACT: #Bitcoin has a larger market cap than JPMorgan Chase and Morgan Stanley combined.
2022-05-29 05:19:53+00:00,"RT @altbullx: I booked 70% profits here...and my stoploss at breakeven full relax..
Congrats whoever made money with me
#btc $BTC $XTZ #xtz…"
2022-05-29 05:19:53+00:00,"RT @DelibirdClub: #NFTGiveaway from @ApeNightClub  🦍🕺🎶

🏆 1 Free #NFT ( worth 300$ )
🏆 5 WL spots

1️⃣ RT &amp; Like 
2️⃣ Follow @ApeNightClub…"
2022-05-29 05:19:53+00:00,"RT @EsportsWomen: #America - hostage to stooges like this

#Esports #Women #Zelda #cosplay #NFTs #startup #BTC #ETH #investing #branding #m…"
2022-05-29 05:19:53+00:00,"RT @RosAlejan2017: Get Free #Bitcoin at https://t.co/FBQDkEni4Z https://t.co/HhPs2kKPTF #BTC #cryptocurrency #sat

1. Retweet + Like

#CTBo…"
2022-05-29 05:19:54+00:00,"Price Change 📊
The price of DREPUSDT has go up by 1.46% 
Previous price: 0.8299 
Current price: 0.842

#DREP, #DREPUSDT, #crypto, #pricegoup https://t.co/GsQGB1SrFS"
2022-05-29 05:19:54+00:00,"@ShibInform @omniaverse DApp features:

Gamers looking to monetize their artwork can use P2P or can leverage the integration of the Dapp with OpenSea Marketplace. Flexible selling options with an opportunity to list using chain agnostic crypto currencies.

@bitgertbrise"
2022-05-29 05:19:54+00:00,"RT @FlylightsTech: 👉Stage 1 continues.
https://t.co/EyddZDYdRM
#Presale Stage 1 tokens have been sent to your wallets.
Don't forget to Add…"
2022-05-29 05:19:54+00:00,"@cryptowaless If your into #CRYPTO you need to have a bag of $KYUB

#KYUUBI is going to be the next big #memecoin

Massive gains incoming for $KYUB holders

Don't miss out on this one

    👀🦊 @KyuubiGlobal 👀🦊"
2022-05-29 05:19:54+00:00,"All eyes on 20,000 👀 $BTC 🐻"
2022-05-29 05:19:54+00:00,RT @hatam_btc: @MrBigWhaleREAL #MarvinInu has the best community for such an early project. They get the long-term play and are hodling str…
2022-05-29 05:19:54+00:00,"RT @ADAM_Oracle: 🍕Celebrate #ADAM Pizza Week🍕

Supreme Pizza👉  $20 ADAM
luxury Pizza👉  $10 ADAM
Lucky Pizza👉  $5 ADAM
Pizza Blind Box👉  ？？A…"
2022-05-29 05:19:55+00:00,"RT @DMM_Bitcoin: ／
毎日参加！その場で当たる！
🎉 #フォローRTキャンペーン 🎉
400名様に500円分のデジタルギフトをプレゼント😊
＼

■応募方法
①@DMM_Bitcoinをフォロー
②この投稿をRT
③以下のURLから抽選！
https://t.c…"
2022-05-29 05:19:55+00:00,"RT @airdropinspect: New airdrop: CloudChat (CC)
Total Reward: 1.2 Million CC
Rate: ⭐️⭐️⭐️⭐️
Winners: 750 Random &amp; Top 250
Distribution: 14t…"
2022-05-29 05:19:57+00:00,"@bitcoininu_eth hopefully this project is a success and then it becomes one of the best cryptos, Good luck.
@MdArif12360116
@nusratj35821303
@RakivHasan6
#Airdrop#Crypto#NFT"
2022-05-29 05:19:57+00:00,@mochineproms @bellahost__ @RKalisabuk @crypto_moch @moch_indo Congrats 🎉
2022-05-29 05:19:57+00:00,"@FrontendLA Next #BSC #Metaverse gem taking the crypto space by storm🚀

$LMETA @luckymetaverse_

All In One Metaverse 🏙 
P2E, Stake, Lottery | All using one token ✅| KYC'd &amp; Audited🔒, DOXXED TEAM

Next 1000x #GEM 💎

Check for yourself before investing 👇💎 
https://t.co/zWaHheLPwZ"
2022-05-29 05:19:57+00:00,"@aniyoogifteu Winner 🏆: @Chrxstxbxls

Congrats! Kindly DM &amp; read their pinned tweet before you claim the prize.  

Gcash/Crypto: @crypto_moch 
Dana wallet 🇮🇩: @moch_indo 

✔️ https://t.co/YDuWVGE2qu"
2022-05-29 05:19:57+00:00,"RT @itejck: ARCHIE will be a GIANT in the Metaverse 💫Space. 

             💥💥💥BOOM! 💥💥💥 #VirtualReality #Ethereum #altcoin #blockchain #Met…"
2022-05-29 05:19:58+00:00,"Increase in Trades
DREPUSDT, has 5500% increase in the number of trades going through
Previous total trades: 2
Current total trades: 110
Average trades: 87
Market price: 0.842
Buyers: 53%
Sellers: 47%

#DREP, #DREPUSDT, #crypto https://t.co/FrCIVUGi6S"
2022-05-29 05:19:58+00:00,"Orangepilling a friend!!! Jajajajaja parece que ya pronto habrá otra emprendedora usando #BTC 

⚡🧡Taquitos x sats🌮🧡⚡ https://t.co/hRKUMNUBgK"
2022-05-29 05:19:58+00:00,"Cryptocurrency Prices Today May 29: Bitcoin and Ethereum rise, Dogecoin slips – Moneycontrol https://t.co/anzCBNbVpZ"
2022-05-29 05:19:59+00:00,RT @CryptoReloader: You lost your money through DoKwon? You are now trying to get your money back with other projects but don't know where…
2022-05-29 05:19:59+00:00,"वक़्त और हालात आदमी को ज़िंदगी #Life में सबकुछ सीखा देते हैं....!!
.@VinoBhojak 
#lifestyle #StrangerThings #charansingh #PrimeVideo #SPY_FAMILY #PDPPrimaries #ObiWan #Metaverse #NFTCommunity #Bitcoin #cryptocurrency #ZeePruk #zonauang #RussiaUkraineWar #TejRan #ZeePruk https://t.co/eHS18suFPe"
2022-05-29 05:19:59+00:00,"@Crypto_Daily 🔥 NinjaTurtles is a community-driven fan token.
🔥 Audit by solidproof &amp; KYC in progress
🔥 Experienced team,huge marketing
🔥 Tax Buy/Sell 2% / 3%
☄️ Presale on unicrypt, 30 may
💥 SC: 50 BNB / HC: 100 BNB
❤️TG:https://t.co/f37HbpTmXU"
2022-05-29 05:19:59+00:00,"RT @ChiefraFba: 🚨🎁 $1000 GIVEAWAY 🎁🚨

Win $1000 worth of coins from ONE of your choice of:

$FTM $BTC $BNB $AVAX

TO ENTER:

🔶 Like this po…"
2022-05-29 05:19:59+00:00,"@cryptoworld202 @omniaverse DApp features:

Gamers looking to monetize their artwork can use P2P or can leverage the integration of the Dapp with OpenSea Marketplace. Flexible selling options with an opportunity to list using chain agnostic crypto currencies.

@bitgertbrise"
2022-05-29 05:19:59+00:00,"RT @dreamcity1991: #Shiba is the future of #ETH and will be achieved with #Shibarium, a cheap #Etherum network.
#SHIB #SHIBARMY #Bitcoin #B…"
2022-05-29 05:19:59+00:00,"RT @LadyofCrypto1: ☝️ even if #Bitcoin turns around in June and goes to 60k (unlikely), you will have plenty of time to buy up alts."
2022-05-29 05:19:59+00:00,Meet the Steel Company that Wants to Become an NFT Brokerage . A publicly listed South Korean steel company has reiterated its intention to reposition itself as a crypto brokerage and non-fungible token (NFT) issuer.
2022-05-29 07:59:37+00:00,"Join Slingshot's mobile waitlist with my link, and we can both earn up to $2500 in NFT rewards and a chance to win 1 BTC. 🔥 https://t.co/Hg5hTRS4eG"
2022-05-29 07:59:37+00:00,"RT @100trillionUSD: #bitcoin $29K, feels similar to 2015 and 2018/19 (blue) https://t.co/IfdmLEiC1H"
2022-05-29 07:59:37+00:00,1 BTC equals 27034.6738 EUR. #bitcoin
2022-05-29 07:59:37+00:00,"@net_terakoya 現在成立している稀有なクリーンポンジとしての通貨は、信任が保たれる最後の根拠が租税貨幣論つまりは武力。

そう考えるとBitcoinはUSTと重なる面はありつつ、まあ一緒にすると失礼ですが。"
2022-05-29 07:59:37+00:00,"@CnftGuide @adapolicenft @majidi_mansour
@dogefuturee
@NGUYENT36541430
#OGWeedWorldWide #Bitcoin #cryptocurrency #BNB #dogecoin #Shibainu  #Metaverse #NFT #Ethereum #BTC #cryptocurrency #Solana #NFTGiveaway #ADA #CARDANO #Binance #SOL #PolkaDot #DOGE #BinanceSmartChain #NFTs #pinetwork #CardanoCommunity"
2022-05-29 07:59:38+00:00,"RT @ferguso_io: #ferguso $fergh #nftartist #nftart #nft  #nftcommunity  #nftfamily #nftproject #btc #ETHEREUM

https://t.co/8Zi60dy3Ei"
2022-05-29 07:59:39+00:00,"RT @ampleswap: $5 for Everyone
Who trade/add liquidity on https://t.co/jM4ELgmmKJ
(29th May to 5th June 2022 UTC) distribution on  6th

Fol…"
2022-05-29 07:59:40+00:00,"RT @LadyofCrypto1: I said this the other day, and I'll say it again.

On Dec 16th 2020 $BTC broke 19.8k to make a new ATH. On that day:

$S…"
2022-05-29 07:59:40+00:00,"@MartiniGuyYT @AltbaseApp is the first BSC app to allow you to buy crypto directly from your credit/debit card, Very trusted and reliable. 
#Altbase #altcoin #BSC #BSCGems #cryptocurrency #1000xgem https://t.co/KfNAnTYoHo"
2022-05-29 07:59:40+00:00,"@eNCA I know we all probably might have heard about Bitcoin but don't know how it works, I tried it in a week ago by a man who recommended me to @Adrain_Powel on Twitter he guides me through and i made a return of R66,000 after a week of trading, connect with him @Adrain_Powel"
2022-05-29 07:59:41+00:00,"@CTheroesNFT @BTC_Archive Future millionaires buy @AxlToken next 💎Utilities...🔱
🔥Axl launchpad is live along new UI.
🔱Stake  AXL &amp;NFT in fixed staking pools
🔆Nfts and metaverse 🎨
🔆Multi chain ⛓ETH &amp; BSC
🔆Certik audit completed
🔆Engaged community
🔆Tax Free⛔
$Axl #axlinu https://t.co/SYNXp8yiHG https://t.co/CMpLeU9WXn"
2022-05-29 07:59:41+00:00,"RT @AirdropStario: 💧 Kakashi Sensei Airdrop 💧

🏆 Task:            ➕ 4 Million KAKASHI for 500 random participants each.

🔛 Airdrop Link &amp; I…"
2022-05-29 07:59:41+00:00,"If you are investing in crypto currencies, make sure you are compliant with the ITD. Catax helps you calculate any capital gain or loss on your transactions @cataxapp 
@choudhryneraj @EdmundFrancis13 https://t.co/zAAK7zJDXL"
2022-05-29 07:59:42+00:00,"RT @DidBitcoinDie: Not.  Bitcoin is alive.
But Luna died again."
2022-05-29 07:59:42+00:00,"RT @kriptoefendisi_: 1 kişiye 3 #AVAX veriyorum.

Toplam 75$ (1200 TL) değerinde çekiliş.

✅Tek yapmanız gereken beni takip etmek ve bu pos…"
2022-05-29 07:59:42+00:00,Crypto Pirates Project #GameFi #Crypto #BSC #BNBChain #Binance   #NFT #Metaverse #Cryptopirates #PST #P2EGame #game #cryptocurrecy #newgem https://t.co/jo9lYd1hFX
2022-05-29 07:59:42+00:00,"RT @Estesera: Hey $KDA::
Have a listen in on this. All roads lead back #Crypto - when you have the big heads speaking like this 💯
Very good…"
2022-05-29 07:59:42+00:00,"RT @CryptoMetaBomb: 🚀 Airdrop: CryptoMetaBomb
💰 Value: 50.000 $BTC
📅 End Date: 26th June, 2022
🏦 Distribution Date: Immediate

🥇 1st - 2.00…"
2022-05-29 07:59:43+00:00,"RT @AirdropDet: 🔍 New #Airdrop: Maxity 

💲 Reward: Up to 4.5 BUSD + 1,000 BUSD referral pool

🔴 Start the airdrop bot https://t.co/5wToslY5…"
2022-05-29 07:59:43+00:00,"Leading #crypto asset exchange #FTX aims to spend up to $2 billion on #acquisitions, says chief executive officer"
2022-05-29 07:59:43+00:00,RT @fgsdgsdgd999999: thanks to ripple xrp company! a bit happiness in this bear market #bitcoin #crypto #xrp  https://t.co/7x34sXY27z
2022-05-29 07:59:43+00:00,"@100trillionUSD We are in difficult times at the moment. The model isn't broken, the world is. Once things settle down we're in for the biggest pump Bitcoin has, and I believe will ever see. Have faith!"
2022-05-29 07:59:43+00:00,@crypto_bearr @SuperTRXio @GoshFinder Done https://t.co/GAqq71INeU
2022-05-29 07:59:43+00:00,@crypto_kreation @Investopia @grrwolfie So hoot🥰
2022-05-29 07:59:43+00:00,"This next bullrun is gonna be fking intense man. EVERYONE knows about crypto and NFT's now.
They're literally just waiting on the greenlight. 
All remote or delivery work, sitting at home, hating the government, consuming media, and waiting.
Kinda disgusted FTM still isnt on CB"
